,Time,no_empty_0.5_rep_1,no_empty_0.5_rep_2,no_empty_0.5_rep_3,no_empty_1_rep_1,no_empty_1_rep_2,no_empty_1_rep_3,no_empty_2.5_rep_1,no_empty_2.5_rep_2,no_empty_2.5_rep_3,no_empty_5_rep_1,no_empty_5_rep_2,no_empty_5_rep_3,no_empty_10_rep_1,no_empty_10_rep_2,no_empty_10_rep_3,no_empty_15_rep_1,no_empty_15_rep_2,no_empty_15_rep_3,no_empty_30_rep_1,no_empty_30_rep_2,no_empty_30_rep_3,empty_0.5_rep_1,empty_0.5_rep_2,empty_0.5_rep_3,empty_1_rep_1,empty_1_rep_2,empty_1_rep_3,empty_2.5_rep_1,empty_2.5_rep_2,empty_2.5_rep_3,empty_5_rep_1,empty_5_rep_2,empty_5_rep_3,empty_10_rep_1,empty_10_rep_2,empty_10_rep_3,empty_15_rep_1,empty_15_rep_2,empty_15_rep_3,empty_30_rep_1,empty_30_rep_2,empty_30_rep_3,empty_T7_0.5_rep_1,empty_T7_0.5_rep_2,empty_T7_0.5_rep_3,empty_T7_1_rep_1,empty_T7_1_rep_2,empty_T7_1_rep_3,empty_T7_2.5_rep_1,empty_T7_2.5_rep_2,empty_T7_2.5_rep_3,empty_T7_5_rep_1,empty_T7_5_rep_2,empty_T7_5_rep_3,empty_T7_10_rep_1,empty_T7_10_rep_2,empty_T7_10_rep_3,empty_T7_15_rep_1,empty_T7_15_rep_2,empty_T7_15_rep_3,empty_T7_30_rep_1,empty_T7_30_rep_2,empty_T7_30_rep_3,empty_sigma70_0.5_rep_1,empty_sigma70_0.5_rep_2,empty_sigma70_0.5_rep_3,empty_sigma70_1_rep_1,empty_sigma70_1_rep_2,empty_sigma70_1_rep_3,empty_sigma70_2.5_rep_1,empty_sigma70_2.5_rep_2,empty_sigma70_2.5_rep_3,empty_sigma70_5_rep_1,empty_sigma70_5_rep_2,empty_sigma70_5_rep_3,empty_sigma70_10_rep_1,empty_sigma70_10_rep_2,empty_sigma70_10_rep_3,empty_sigma70_15_rep_1,empty_sigma70_15_rep_2,empty_sigma70_15_rep_3,empty_sigma70_30_rep_1,empty_sigma70_30_rep_2,empty_sigma70_30_rep_3,blank_rep_1,blank_rep_2,blank_rep_3
3,00:00:00,6,8,9,0,2,4,0,1,6,4,27,21,51,51,53,57,64,56,40,52,36,12,11,14,15,6,8,6,17,10,4,7,21,14,29,5,15,16,21,15,9,13,13,0,4,4,11,0,8,6,5,2,7,2,0,2,1,16,5,0,15,1,15,21,22,0,2,5,0,0,5,17,8,11,6,0,9,8,2,11,0,0,0,10,0,8,7
4,00:03:00,15,11,2,0,9,2,15,1,8,22,29,39,84,81,90,79,89,104,74,76,73,12,10,9,0,9,15,16,17,21,37,41,31,38,30,49,41,22,32,37,51,37,0,0,15,18,9,0,3,16,13,7,19,23,22,23,19,14,7,22,12,12,20,0,14,8,8,0,7,10,10,0,6,3,18,0,0,5,15,0,7,5,12,8,9,6,1
5,00:06:00,2,0,12,4,0,17,1,4,0,44,39,53,128,130,125,146,135,152,117,115,126,15,5,11,1,19,3,41,39,41,58,55,68,81,76,70,62,44,54,53,49,79,14,5,13,22,20,17,24,17,15,26,8,29,31,32,59,38,20,23,29,29,30,3,0,10,0,10,4,0,4,11,19,12,12,8,13,18,16,11,11,11,17,7,19,0,26
6,00:09:00,5,11,17,0,0,4,7,7,15,76,91,71,204,201,205,192,199,216,178,196,185,4,10,3,27,32,45,66,74,69,97,102,111,164,129,135,104,89,102,107,103,106,19,10,8,0,12,10,60,44,34,70,46,44,74,61,70,65,64,60,64,65,80,5,0,9,23,12,12,24,17,43,31,32,42,47,37,70,49,40,50,47,54,42,59,54,34
7,00:12:00,5,0,3,0,2,0,0,26,12,140,129,123,296,290,306,301,306,316,268,280,278,17,27,15,54,66,57,172,152,137,170,176,194,283,241,232,174,144,168,174,161,191,17,15,16,28,23,38,120,71,81,108,101,101,122,118,122,116,116,99,143,135,127,21,28,13,34,48,60,69,84,60,83,95,97,110,99,151,94,77,109,95,88,91,114,96,103
8,00:15:00,20,3,4,23,19,28,52,38,51,223,206,208,439,401,442,408,396,464,348,376,394,36,34,43,113,109,100,266,249,231,257,256,277,449,369,358,255,228,234,274,254,266,42,28,34,86,58,59,186,126,147,187,179,172,212,191,203,202,197,163,244,248,220,62,43,42,86,121,111,126,142,140,170,162,186,197,199,273,166,155,198,186,192,194,228,201,182
9,00:18:00,12,0,14,40,24,21,117,104,119,328,325,299,593,551,578,587,544,599,479,535,529,73,68,74,195,210,188,428,379,353,373,383,404,634,526,513,370,308,316,398,323,360,46,44,49,159,99,115,289,190,228,309,276,264,300,278,294,305,289,239,348,391,324,137,84,93,162,228,227,222,264,231,265,247,298,319,308,440,289,251,326,277,317,330,370,321,323
10,00:21:00,12,25,26,46,56,70,216,191,202,420,428,386,741,702,718,720,698,754,621,679,694,114,135,123,283,315,276,578,559,493,514,521,544,819,690,671,498,451,433,543,452,493,86,82,94,257,165,179,393,294,321,450,388,365,434,396,409,444,439,339,538,553,459,213,145,147,246,342,358,347,367,327,386,366,435,444,429,622,434,359,469,392,460,471,545,495,464
11,00:24:00,37,46,36,98,115,135,331,276,274,520,546,487,894,829,827,870,824,884,740,822,837,191,221,173,368,405,373,722,682,641,646,644,664,1003,852,830,640,568,564,712,545,621,137,142,139,355,247,254,522,384,437,603,511,494,567,501,517,561,597,461,681,734,609,335,212,235,358,504,498,452,515,471,520,525,574,575,574,805,616,486,638,541,601,636,744,657,654
12,00:27:00,57,65,55,141,152,192,433,368,348,625,649,576,1014,959,933,989,947,992,853,931,974,223,298,248,467,491,456,872,810,749,760,763,756,1168,982,931,763,674,659,858,678,735,200,183,181,476,334,330,626,487,543,764,635,623,721,596,621,689,740,574,859,883,723,454,269,321,466,632,626,555,616,578,645,646,712,716,718,984,767,594,770,663,776,786,903,792,802
