,Time,no_empty_0.5_rep_1,no_empty_0.5_rep_2,no_empty_0.5_rep_3,no_empty_1_rep_1,no_empty_1_rep_2,no_empty_1_rep_3,no_empty_2.5_rep_1,no_empty_2.5_rep_2,no_empty_2.5_rep_3,no_empty_5_rep_1,no_empty_5_rep_2,no_empty_5_rep_3,no_empty_10_rep_1,no_empty_10_rep_2,no_empty_10_rep_3,no_empty_15_rep_1,no_empty_15_rep_2,no_empty_15_rep_3,no_empty_30_rep_1,no_empty_30_rep_2,no_empty_30_rep_3,empty_0.5_rep_1,empty_0.5_rep_2,empty_0.5_rep_3,empty_1_rep_1,empty_1_rep_2,empty_1_rep_3,empty_2.5_rep_1,empty_2.5_rep_2,empty_2.5_rep_3,empty_5_rep_1,empty_5_rep_2,empty_5_rep_3,empty_10_rep_1,empty_10_rep_2,empty_10_rep_3,empty_15_rep_1,empty_15_rep_2,empty_15_rep_3,empty_30_rep_1,empty_30_rep_2,empty_30_rep_3,empty_T7_0.5_rep_1,empty_T7_0.5_rep_2,empty_T7_0.5_rep_3,empty_T7_1_rep_1,empty_T7_1_rep_2,empty_T7_1_rep_3,empty_T7_2.5_rep_1,empty_T7_2.5_rep_2,empty_T7_2.5_rep_3,empty_T7_5_rep_1,empty_T7_5_rep_2,empty_T7_5_rep_3,empty_T7_10_rep_1,empty_T7_10_rep_2,empty_T7_10_rep_3,empty_T7_15_rep_1,empty_T7_15_rep_2,empty_T7_15_rep_3,empty_T7_30_rep_1,empty_T7_30_rep_2,empty_T7_30_rep_3,empty_sigma70_0.5_rep_1,empty_sigma70_0.5_rep_2,empty_sigma70_0.5_rep_3,empty_sigma70_1_rep_1,empty_sigma70_1_rep_2,empty_sigma70_1_rep_3,empty_sigma70_2.5_rep_1,empty_sigma70_2.5_rep_2,empty_sigma70_2.5_rep_3,empty_sigma70_5_rep_1,empty_sigma70_5_rep_2,empty_sigma70_5_rep_3,empty_sigma70_10_rep_1,empty_sigma70_10_rep_2,empty_sigma70_10_rep_3,empty_sigma70_15_rep_1,empty_sigma70_15_rep_2,empty_sigma70_15_rep_3,empty_sigma70_30_rep_1,empty_sigma70_30_rep_2,empty_sigma70_30_rep_3,blank_rep_1,blank_rep_2,blank_rep_3
0,00:00:00,92,103,98,100,104,103,108,109,117,105,94,122,103,97,110,106,98,96,92,91,100,100,101,104,95,107,110,99,111,109,107,118,103,115,109,96,101,80,106,101,92,96,100,120,104,106,109,98,114,107,111,108,117,118,103,97,110,111,103,109,74,92,105,105,124,102,103,130,97,126,95,95,108,111,109,104,107,107,101,118,115,106,118,114,123,112,112
1,00:03:00,80,90,86,87,78,83,90,72,82,79,94,104,77,90,72,98,78,115,109,105,101,93,81,95,85,86,81,76,106,97,86,84,81,77,80,86,107,84,104,100,108,105,91,96,81,78,90,91,76,89,91,92,71,89,79,93,74,88,88,81,82,88,85,91,102,91,80,82,99,96,84,84,73,84,86,92,84,93,86,110,116,118,125,111,102,89,91
2,00:06:00,50,71,59,78,65,76,58,74,68,82,77,72,109,105,108,106,130,135,240,201,226,74,65,79,68,82,66,88,86,78,95,79,84,98,111,103,200,161,172,209,196,222,82,70,71,74,75,61,87,78,78,95,71,83,112,107,130,158,153,159,179,193,169,56,70,66,90,76,62,86,73,68,91,92,99,139,130,125,139,186,191,213,225,273,72,81,86
3,00:09:00,54,55,45,45,62,70,59,70,63,79,73,80,194,200,173,232,232,287,546,460,531,53,62,57,61,66,59,71,69,91,118,126,109,191,210,230,459,349,376,556,443,572,61,76,56,53,75,59,64,75,73,95,97,113,224,222,218,307,323,325,431,413,405,62,77,59,77,72,76,113,93,90,163,174,146,277,285,261,347,410,443,568,547,585,64,60,71
4,00:12:00,49,57,75,57,51,63,40,67,63,90,93,89,426,407,365,516,500,621,1138,914,1075,73,71,64,97,65,83,127,120,117,236,213,207,406,442,480,975,779,810,1183,925,1229,73,53,41,71,71,72,96,105,116,161,179,188,435,490,446,646,618,610,823,891,834,75,82,80,93,93,88,145,157,136,356,339,325,543,599,496,737,838,903,1226,1181,1183,71,58,58
5,00:15:00,80,60,52,57,59,38,63,48,64,157,162,164,838,799,698,987,980,1197,2188,1630,1907,68,70,78,85,100,89,226,198,222,449,385,394,807,857,894,1740,1519,1523,2273,1753,2253,58,58,78,84,80,88,142,145,139,276,307,322,818,941,846,1265,1144,1190,1502,1720,1562,92,62,76,102,138,126,255,249,229,727,658,568,1073,1179,904,1583,1602,1722,2281,2201,2151,58,55,62
6,00:18:00,63,86,65,59,65,57,94,75,76,288,274,276,1494,1444,1260,1764,1723,2075,3690,2640,3098,92,67,68,122,122,134,362,345,340,809,691,673,1448,1591,1601,2949,2566,2519,3769,2924,3659,102,77,79,110,108,103,239,212,213,469,515,543,1427,1603,1400,2213,1902,1992,2446,2901,2645,113,105,84,170,195,161,384,401,418,1317,1113,1029,1837,2133,1538,2763,2557,2904,3729,3578,3552,65,60,65
7,00:21:00,65,71,77,59,63,52,117,105,122,531,465,487,2426,2306,2092,2825,2809,3212,5681,3880,4594,80,93,89,183,220,202,608,567,539,1330,1094,1114,2337,2572,2515,4419,3912,3860,5605,4600,5277,102,104,80,131,141,144,356,319,361,694,815,856,2217,2567,2242,3565,2986,3252,3733,4373,3961,144,127,110,241,309,260,614,663,625,2049,1752,1667,2865,3428,2440,4223,3818,4426,5601,5334,5222,59,61,56
8,00:24:00,77,66,68,82,73,57,196,180,176,825,701,790,3639,3455,3178,4126,4042,4587,7939,5295,6322,122,128,122,271,312,294,934,849,807,2043,1653,1608,3524,4007,3830,6087,5643,5450,7888,6527,7265,139,130,104,189,176,186,543,462,493,1096,1260,1242,3358,3737,3326,5212,4352,4795,5225,6183,5573,167,161,135,354,468,354,899,950,892,3081,2560,2421,4164,5009,3633,5955,5323,6295,7741,7376,7286,71,72,70
9,00:27:00,71,76,89,72,95,69,257,257,256,1250,1010,1146,4879,4786,4297,5449,5275,5710,10226,6586,8064,173,140,140,380,383,411,1279,1181,1102,2851,2434,2240,4695,5536,5064,7911,7366,7058,9811,8517,9251,161,135,135,249,221,254,731,652,699,1542,1743,1690,4477,5089,4455,6925,5908,6325,6774,8159,7179,205,206,178,473,618,481,1205,1339,1243,4185,3462,3300,5549,6668,4809,7953,6796,8033,9871,9278,9312,71,65,58
