,Time,no_empty_1_rep_1,no_empty_1_rep_2,no_empty_1_rep_3,no_empty_0.5_rep_1,no_empty_0.5_rep_2,no_empty_0.5_rep_3,no_empty_2.5_rep_1,no_empty_2.5_rep_2,no_empty_2.5_rep_3,no_empty_5_rep_1,no_empty_5_rep_2,no_empty_5_rep_3,no_empty_10_rep_1,no_empty_10_rep_2,no_empty_10_rep_3,no_empty_15_rep_1,no_empty_15_rep_2,no_empty_30_rep_1,no_empty_30_rep_2,no_empty_30_rep_3,no_empty_15_rep_3,empty_0.5_rep_1,empty_0.5_rep_2,empty_0.5_rep_3,empty_1_rep_1,empty_1_rep_2,empty_1_rep_3,empty_2.5_rep_1,empty_2.5_rep_2,empty_2.5_rep_3,empty_5_rep_1,empty_5_rep_2,empty_5_rep_3,empty_10_rep_1,empty_10_rep_2,empty_15_rep_1,empty_15_rep_2,empty_15_rep_3,empty_30_rep_1,empty_30_rep_2,empty_30_rep_3,empty_T7_0.5_rep_1,empty_T7_0.5_rep_2,empty_T7_0.5_rep_3,empty_T7_1_rep_1,empty_T7_1_rep_2,empty_T7_1_rep_3,empty_T7_2.5_rep_1,empty_T7_2.5_rep_2,empty_T7_2.5_rep_3,empty_T7_5_rep_1,empty_T7_5_rep_2,empty_T7_5_rep_3,empty_T7_10_rep_1,empty_T7_10_rep_2,empty_T7_10_rep_3,empty_T7_15_rep_1,empty_T7_15_rep_2,empty_T7_15_rep_3,empty_T7_30_rep_1,empty_T7_30_rep_2,empty_T7_30_rep_3,empty_sigma70_0.5_rep_1,empty_sigma70_0.5_rep_2,empty_sigma70_0.5_rep_3,empty_sigma70_1_rep_1,empty_sigma70_1_rep_2,empty_sigma70_1_rep_3,empty_sigma70_2.5_rep_1,empty_sigma70_2.5_rep_2,empty_sigma70_2.5_rep_3,empty_sigma70_5_rep_1,empty_sigma70_5_rep_2,empty_sigma70_5_rep_3,empty_sigma70_10_rep_1,empty_sigma70_10_rep_2,empty_sigma70_10_rep_3,empty_sigma70_15_rep_1,empty_sigma70_15_rep_2,empty_sigma70_15_rep_3,empty_sigma70_30_rep_1,empty_sigma70_30_rep_2,empty_sigma70_30_rep_3,blank_rep_1,blank_rep_2,blank_rep_3
983,00:00:34,19,3,18,34,16,7,11,3,14,14,16,19,2,0,0,0,13,7,12,4,18,0,6,7,3,3,0,16,18,19,4,3,4,5,10,11,0,14,13,0,5,0,3,12,12,7,3,10,11,1,8,4,7,13,14,0,9,8,2,1,23,21,3,6,6,21,7,8,8,20,17,6,13,0,0,8,0,14,0,17,7,3,9,21,4,3
984,00:03:34,15,12,28,10,3,12,19,4,22,2,24,7,24,12,1,10,13,8,0,11,12,8,17,6,4,5,3,0,0,16,6,20,8,8,6,0,4,12,0,0,12,0,0,8,27,0,11,3,6,12,0,8,7,10,0,5,9,0,4,9,8,0,0,17,1,0,13,0,0,3,0,1,14,13,2,7,2,0,3,2,8,0,0,0,0,7
985,00:06:34,1,14,26,23,0,16,0,14,6,22,19,4,8,3,1,9,0,23,0,0,4,5,0,0,6,0,11,6,0,0,0,5,0,7,6,10,0,9,0,0,11,4,0,0,3,19,11,7,10,6,4,5,0,10,9,0,22,4,11,6,12,17,0,0,1,0,0,8,0,0,12,18,0,15,4,10,0,1,0,13,9,0,0,3,3,8
986,00:09:34,14,16,4,12,15,16,7,21,18,2,20,10,3,5,0,17,18,32,30,9,15,5,12,0,19,4,14,0,0,10,5,0,7,9,6,2,23,14,24,25,8,10,7,4,0,0,8,0,16,0,0,5,4,18,18,17,11,11,23,5,23,12,6,0,0,4,9,0,7,0,10,12,9,16,0,25,20,23,5,8,23,10,38,0,2,0
987,00:12:34,8,2,30,7,10,7,5,5,3,21,18,19,11,5,14,21,35,56,50,47,46,2,0,7,3,0,14,4,0,3,6,10,16,13,18,16,31,26,46,50,55,2,3,10,1,0,5,1,6,14,20,25,18,24,39,14,24,35,22,37,37,46,0,1,1,7,0,0,21,26,20,29,13,22,34,25,24,18,31,28,59,46,62,0,15,6
988,00:15:34,13,29,4,9,4,8,14,9,6,16,18,12,39,52,53,63,98,118,135,108,99,0,1,17,2,3,5,17,13,13,43,30,43,61,69,65,61,60,90,130,116,0,3,0,0,6,0,15,20,21,58,60,48,67,58,60,71,87,73,105,102,107,2,3,19,10,4,3,23,40,24,34,29,45,68,65,66,83,49,81,146,122,119,0,0,0
989,00:18:34,7,17,17,9,12,13,21,9,10,36,28,26,89,94,83,128,171,209,232,154,196,12,12,2,12,24,8,34,23,20,80,90,99,141,160,131,117,136,173,221,226,8,9,0,10,29,1,36,26,42,99,142,105,134,115,122,135,173,139,196,184,213,5,12,8,14,19,15,65,73,60,93,99,98,139,130,148,155,115,166,266,234,209,19,0,0
990,00:21:34,7,1,13,8,14,19,6,20,10,45,61,67,133,143,142,210,269,332,331,260,284,4,0,8,26,16,18,53,57,53,116,100,163,206,233,203,179,196,264,357,336,29,12,0,14,35,18,75,59,66,163,216,180,211,213,200,217,286,225,298,299,312,17,19,16,39,22,43,97,94,101,138,138,162,231,214,203,249,182,227,383,333,339,10,0,7
991,00:24:34,9,0,18,27,9,6,29,34,26,80,103,89,199,195,206,294,337,422,407,333,390,12,15,8,39,29,20,93,75,82,156,168,220,276,309,283,240,281,336,489,447,25,15,7,46,37,25,112,87,88,210,298,244,291,287,269,291,388,298,389,384,410,29,7,23,56,40,63,136,141,120,199,210,201,304,308,276,330,255,314,498,431,461,5,5,0
992,00:27:34,11,21,4,14,22,23,40,48,38,99,127,147,250,243,265,357,408,535,485,402,473,11,18,9,44,37,34,107,102,104,209,221,291,333,376,346,300,342,405,572,538,23,26,19,60,47,64,148,125,142,284,386,324,379,378,318,347,478,385,445,466,521,20,26,27,103,61,73,198,174,153,273,271,257,403,375,365,407,310,383,606,521,552,0,0,0
