,Time,no_empty_0.5_rep_1,no_empty_0.5_rep_2,no_empty_0.5_rep_3,no_empty_1_rep_1,no_empty_1_rep_2,no_empty_1_rep_3,no_empty_2.5_rep_1,no_empty_2.5_rep_2,no_empty_2.5_rep_3,no_empty_5_rep_1,no_empty_5_rep_2,no_empty_5_rep_3,no_empty_10_rep_1,no_empty_10_rep_2,no_empty_10_rep_3,no_empty_15_rep_1,no_empty_15_rep_2,no_empty_15_rep_3,no_empty_30_rep_1,no_empty_30_rep_2,no_empty_30_rep_3,empty_0.5_rep_1,empty_0.5_rep_2,empty_0.5_rep_3,empty_1_rep_1,empty_1_rep_2,empty_1_rep_3,empty_2.5_rep_1,empty_2.5_rep_2,empty_2.5_rep_3,empty_5_rep_1,empty_5_rep_2,empty_5_rep_3,empty_10_rep_1,empty_10_rep_2,empty_10_rep_3,empty_15_rep_1,empty_15_rep_2,empty_15_rep_3,empty_30_rep_1,empty_30_rep_2,empty_30_rep_3,empty_T7_0.5_rep_1,empty_T7_0.5_rep_2,empty_T7_0.5_rep_3,empty_T7_1_rep_1,empty_T7_1_rep_2,empty_T7_1_rep_3,empty_T7_2.5_rep_1,empty_T7_2.5_rep_2,empty_T7_2.5_rep_3,empty_T7_5_rep_1,empty_T7_5_rep_2,empty_T7_5_rep_3,empty_T7_15_rep_1,empty_T7_15_rep_2,empty_T7_15_rep_3,empty_T7_10_rep_1,empty_T7_10_rep_2,empty_T7_10_rep_3,empty_T7_30_rep_1,empty_T7_30_rep_2,empty_T7_30_rep_3,empty_sigma70_0.5_rep_1,empty_sigma70_0.5_rep_2,empty_sigma70_0.5_rep_3,empty_sigma70_1_rep_1,empty_sigma70_1_rep_2,empty_sigma70_1_rep_3,empty_sigma70_2.5_rep_1,empty_sigma70_2.5_rep_2,empty_sigma70_2.5_rep_3,empty_sigma70_5_rep_1,empty_sigma70_5_rep_2,empty_sigma70_5_rep_3,empty_sigma70_10_rep_1,empty_sigma70_10_rep_2,empty_sigma70_10_rep_3,empty_sigma70_15_rep_1,empty_sigma70_15_rep_2,empty_sigma70_15_rep_3,empty_sigma70_30_rep_1,empty_sigma70_30_rep_2,empty_sigma70_30_rep_3,blank_rep_1,blank_rep_2,blank_rep_3
3,00:00:00,0,0,10,4,0,16,4,11,3,25,0,0,0,13,8,5,8,0,11,4,8,0,0,13,0,7,0,15,0,0,15,2,17,2,0,7,0,0,10,5,2,14,0,0,0,6,0,4,11,6,3,7,10,4,3,0,0,0,0,24,16,1,18,0,17,10,8,7,0,12,4,12,3,11,8,9,0,3,12,9,9,0,7,13,0,12,0
4,00:03:00,6,7,20,0,0,12,6,8,4,0,3,0,0,6,23,9,12,20,5,9,0,0,0,6,3,0,2,4,5,6,6,0,4,17,14,9,0,10,19,0,8,4,13,0,11,1,1,1,2,9,0,10,0,13,23,16,0,21,9,0,5,0,8,5,11,0,10,3,14,18,0,2,6,0,0,3,1,10,4,0,0,0,0,4,0,0,9
5,00:06:00,18,15,0,2,19,9,8,0,4,0,0,0,0,0,1,0,1,13,0,11,1,14,0,7,10,3,8,0,0,13,0,14,2,15,2,0,0,6,0,9,8,0,0,1,2,7,0,11,5,0,14,3,0,0,7,10,11,1,6,9,0,0,17,17,8,2,7,6,0,1,0,0,6,0,7,4,0,5,10,0,7,2,0,5,0,10,10
6,00:09:00,5,1,15,0,0,0,7,1,0,8,9,0,8,0,0,6,15,0,1,3,11,0,3,14,6,0,13,22,0,4,21,7,6,3,0,5,11,0,3,0,10,17,12,18,2,0,13,0,10,6,0,17,0,0,11,9,14,0,6,9,0,0,4,3,10,2,0,21,7,7,0,0,14,0,5,0,0,2,2,0,0,0,11,7,0,7,1
7,00:12:00,9,0,5,0,13,0,1,0,9,2,5,0,1,7,1,2,17,0,6,0,0,0,0,14,0,12,6,6,5,18,0,12,5,9,3,0,3,1,12,1,14,0,0,0,1,0,8,18,0,0,0,0,0,0,6,5,0,16,0,4,20,0,0,0,3,6,4,0,0,0,2,11,3,0,4,6,15,11,15,0,2,1,17,0,20,6,4
8,00:15:00,12,0,17,15,0,0,2,2,0,10,0,3,0,2,0,0,0,0,12,3,23,4,0,3,2,15,7,17,0,0,6,0,0,4,11,0,0,0,0,3,4,4,0,10,21,4,2,0,0,3,2,5,0,0,21,1,0,0,0,8,5,7,6,2,17,0,18,0,9,7,1,11,3,26,8,0,8,1,4,8,0,14,16,11,3,3,3
9,00:18:00,6,12,2,16,0,16,5,3,0,12,0,2,0,3,0,0,12,0,8,20,9,1,6,10,6,5,5,7,8,6,2,7,3,0,0,6,1,0,8,10,18,10,0,0,0,0,0,8,0,11,3,2,0,9,7,2,0,3,4,0,11,17,23,0,7,5,1,0,0,0,0,11,0,0,0,5,0,0,2,16,0,6,6,8,15,8,4
10,00:21:00,3,1,0,1,14,6,6,0,0,0,0,0,0,8,11,11,5,8,5,25,12,4,1,5,9,0,7,17,4,5,13,0,16,2,27,0,9,3,3,31,12,27,1,1,0,0,1,1,1,0,1,6,0,5,7,6,0,11,7,9,27,20,23,13,0,0,7,0,17,0,12,10,4,18,14,8,11,23,6,14,0,14,14,23,2,3,0
11,00:24:00,5,11,0,8,0,19,16,0,2,1,0,7,6,13,0,7,12,0,26,33,36,9,2,0,4,0,0,9,17,6,9,3,6,22,0,0,7,9,2,48,37,28,1,0,0,1,5,1,0,11,0,9,0,15,12,12,15,12,19,13,39,46,47,8,12,5,8,0,16,8,12,5,0,0,18,12,2,11,14,16,10,27,31,19,0,1,0
12,00:27:00,2,0,12,0,0,16,0,2,3,3,0,15,5,0,0,20,5,14,30,36,49,0,18,5,13,7,1,0,4,16,11,0,0,4,16,0,0,10,18,51,45,47,0,0,0,0,22,5,0,0,1,12,8,0,0,4,14,12,5,16,49,67,43,21,1,8,0,5,0,2,18,4,0,4,6,1,8,0,17,20,10,45,32,24,0,15,8
